id,name,address,openinghours,phonenumber,fax,latitude,longtitude
1,North Regional Business Centre,"960 Gympie Rd, Chermside",Mon - Fri 8:30am - 4:45pm,07 3403 8888,07 3407 0759,-27.38087,153.02945
2,South Regional Business Centre,"665 Fairfield Road, Yeerongpilly, opposite the Yeerongpilly Railway Centre",Mon - Fri 8:30am - 4:45pm,07 3403 8888,07 3407 0340,-27.525066,153.01275
3,East Regional Business Centre,"1151 Creek Road Carindale, Inside the Westfield Carindale Shopping Centre",Mon - Fri 8:30am - 4:45pm,07 3403 8888,07 3407 1651,-27.500706,153.102759
4,West Regional Business Centre,"70 Station Rd, Indooroopilly",Mon - Fri 8:30am - 4:45pm,07 3403 8888,07 3407 0084,-27.501753,152.972407
5,Central Regional Business Centre,"Library and Customer Centre, Level 1  266 George St, Brisbane",Mon - Fri 9am - 5pm,07 3403 8888,07 3407 2861,-27.47072,153.02233
